0,0.00025,0.00075,0.00125,0.00175,0.00225,0.00275,0.00325,0.00375,0.00425,0.00475,0.00525,0.00575,0.00625,0.00675,0.00725,0.00775,0.00825,0.00875,0.00925,0.00975,0.01025,0.01075,0.01125,0.01175,0.01225,0.01275,0.01325,0.01375,0.01425,0.01475,0.01525,0.01575,0.01625,0.01675,0.01725,0.01775,0.01825,0.01875,0.01925,0.01975,0.02025,0.02075,0.02125,0.02175,0.02225,0.02275,0.02325,0.02375,0.02425,0.02475,0.02525,0.02575,0.02625
0.01975,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01925,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01875,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01825,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01775,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01725,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01675,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01625,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01575,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01525,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01475,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01425,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01375,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01325,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01275,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01225,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01175,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01125,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01075,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.01025,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00975,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00925,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00875,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00825,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00775,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00725,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00675,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00625,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00575,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00525,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00475,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00425,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00375,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00325,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00275,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00225,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00175,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00125,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,962779,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00075,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
0.00025,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,961538,0,0,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,95959.6,0
